Date,Open,High,Low,Close,Volume,Adj Close
2016-05-23,72.20,72.20,71.25,71.30,1700900,69.727
2016-05-20,71.40,72.50,70.75,71.60,3006400,70.02
2016-05-19,71.95,71.95,70.80,70.90,2747600,69.336
2016-05-18,71.25,71.40,70.45,71.10,3828300,69.531
2016-05-17,70.70,71.35,70.15,71.25,4208000,69.678
2016-05-16,70.55,70.60,69.65,70.10,2669200,68.553
2016-05-13,71.85,72.10,70.00,70.00,7651400,68.456
2016-05-12,73.25,73.25,72.05,72.30,3410900,70.705
2016-05-11,73.50,73.50,72.50,73.00,3229600,71.389
2016-05-10,72.40,73.75,72.30,73.70,3825700,72.074
2016-05-09,72.60,73.15,72.10,72.85,2536000,71.243
2016-05-06,72.55,72.60,71.85,72.25,3415200,70.656
2016-05-05,71.95,72.30,71.60,72.15,1853100,70.558
2016-05-04,72.45,72.50,71.70,71.95,2080000,70.363
2016-05-03,72.30,73.30,71.50,72.70,5314200,71.096
2016-05-02,71.75,71.75,71.75,71.75,000,70.167
2016-04-29,72.70,72.85,71.45,71.75,3773700,70.167
2016-04-28,72.65,73.50,72.00,73.10,4022200,71.487
2016-04-27,72.45,72.85,71.90,72.10,1816000,70.509
2016-04-26,73.25,73.25,72.00,72.70,2258000,71.096
2016-04-25,72.15,73.00,72.15,72.90,2015400,71.292
2016-04-22,72.50,72.80,72.15,72.50,2579900,70.90
2016-04-21,73.00,73.00,72.10,72.40,2274200,70.803
2016-04-20,73.00,73.00,72.25,72.65,3402800,71.047
2016-04-19,72.80,73.00,72.15,72.95,2327200,71.34
2016-04-18,72.10,72.40,71.65,71.90,1797300,70.314
2016-04-15,72.15,72.45,71.40,72.10,2803000,70.509
2016-04-14,71.55,72.00,71.15,72.00,3338900,70.411
2016-04-13,71.50,71.50,70.80,71.30,4247800,69.727
2016-04-12,70.00,71.00,70.00,70.95,2896500,69.385
2016-04-11,70.40,70.45,69.85,70.10,2228200,68.553
2016-04-08,70.20,70.55,69.55,70.50,3558300,68.945
2016-04-07,70.00,70.20,69.65,70.10,3482200,68.553
2016-04-06,68.75,70.00,68.75,69.95,3555200,68.407
2016-04-05,69.80,70.05,68.80,68.85,3064700,67.331
2016-04-04,70.25,70.25,70.25,70.25,000,68.70
2016-04-01,70.50,70.50,70.10,70.25,2243900,68.70
2016-03-31,70.20,70.35,69.95,70.15,4048500,68.602
2016-03-30,69.80,70.00,69.50,70.00,4362900,68.456
2016-03-29,69.50,69.50,68.85,69.35,1982000,67.82
2016-03-28,69.10,69.10,69.10,69.10,000,67.575
2016-03-25,69.10,69.10,69.10,69.10,000,67.575
2016-03-24,69.40,69.40,68.95,69.10,1481900,67.575
2016-03-23,69.50,69.50,69.05,69.20,2393000,67.673
2016-03-22,68.80,69.30,68.80,69.10,2353700,67.575
2016-03-21,69.30,69.40,68.70,69.15,2386800,67.624
2016-03-18,69.50,69.50,68.60,69.45,4893700,67.918
2016-03-17,69.50,69.50,68.55,69.30,3607500,67.771
2016-03-16,69.00,69.15,68.50,68.85,2514900,67.331
2016-03-15,69.00,69.00,68.45,68.95,3507600,67.429
2016-03-14,68.85,68.85,68.15,68.60,3174800,67.086
2016-03-11,67.80,68.35,67.60,68.15,2888000,66.646
2016-03-10,69.55,69.80,68.75,69.15,1876200,66.598
2016-03-09,68.95,69.50,68.90,69.45,3249800,66.886
2016-03-08,69.50,69.50,69.15,69.35,2388900,66.79
2016-03-07,69.30,69.40,69.00,69.35,3159500,66.79
2016-03-04,69.40,69.45,68.75,69.40,2351400,66.838
2016-03-03,69.40,69.45,68.55,69.20,3828100,66.646
2016-03-02,68.90,69.50,68.75,69.05,5414800,66.501
2016-03-01,68.45,68.75,68.00,68.65,3238700,66.116
2016-02-29,68.50,68.50,67.75,67.80,4165100,65.297
2016-02-26,68.00,68.50,67.75,68.45,4889100,65.923
2016-02-25,67.50,67.90,67.10,67.40,3537800,64.912
2016-02-24,67.65,68.30,67.35,68.25,3794100,65.731
2016-02-23,67.30,67.80,67.25,67.60,2156100,65.105
2016-02-22,67.10,67.80,66.95,67.80,2633700,65.297
2016-02-19,66.90,67.00,66.70,66.95,1672900,64.479
2016-02-18,66.80,66.90,66.55,66.80,2482300,64.334
2016-02-17,66.25,66.75,66.20,66.60,2850200,64.142
2016-02-16,66.65,66.75,66.20,66.70,3207200,64.238
2016-02-15,66.70,66.85,66.20,66.80,4401800,64.334
2016-02-12,65.75,66.60,65.60,66.25,4740900,63.805
2016-02-11,65.80,66.30,65.70,66.00,4044400,63.564
2016-02-10,66.30,66.30,66.30,66.30,000,63.853
2016-02-09,66.30,66.30,66.30,66.30,000,63.853
2016-02-08,66.30,66.30,66.30,66.30,000,63.853
2016-02-05,66.40,66.60,65.80,66.30,3456600,63.853
2016-02-04,66.20,66.75,65.85,66.00,3065800,63.564
2016-02-03,65.75,66.15,65.50,66.05,3112300,63.612
2016-02-02,65.35,66.05,65.30,66.00,3062700,63.564
2016-02-01,65.30,65.45,65.05,65.30,3486800,62.89
