Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,0.12,0.135,0.12,0.13,78608000,0.13
2016-12-01,0.126,0.126,0.115,0.12,6332000,0.12
2016-11-30,0.125,0.125,0.12,0.124,5308000,0.124
2016-11-29,0.124,0.125,0.122,0.123,4612000,0.123
2016-11-28,0.125,0.125,0.122,0.124,6428000,0.124
2016-11-25,0.122,0.124,0.121,0.122,3704000,0.122
2016-11-24,0.129,0.129,0.121,0.124,6104000,0.124
2016-11-23,0.13,0.13,0.125,0.127,43728000,0.127
2016-11-22,0.126,0.142,0.126,0.13,33736000,0.13
2016-11-21,0.125,0.128,0.123,0.126,7712000,0.126
2016-11-18,0.122,0.128,0.12,0.125,138272000,0.125
2016-11-17,0.123,0.126,0.118,0.121,19212000,0.121
2016-11-16,0.13,0.137,0.122,0.123,68252000,0.123
2016-11-15,0.106,0.128,0.106,0.128,141032000,0.128
2016-11-14,0.101,0.112,0.101,0.106,42540000,0.106
2016-11-11,0.103,0.103,0.101,0.101,816000,0.101
2016-11-10,0.103,0.104,0.102,0.104,18696000,0.104
2016-11-09,0.102,0.102,0.098,0.10,10028000,0.10
2016-11-08,0.104,0.105,0.101,0.102,18864000,0.102
2016-11-07,0.103,0.103,0.10,0.103,10972000,0.103
2016-11-04,0.103,0.105,0.102,0.103,64260000,0.103
2016-11-03,0.099,0.109,0.099,0.102,25960000,0.102
2016-11-02,0.098,0.10,0.096,0.099,10800000,0.099
2016-11-01,0.102,0.102,0.095,0.098,16596000,0.098
2016-10-31,0.102,0.105,0.102,0.103,3700000,0.103
2016-10-28,0.103,0.109,0.101,0.102,13592000,0.102
2016-10-27,0.103,0.106,0.10,0.104,17252000,0.104
2016-10-26,0.103,0.105,0.099,0.102,8440000,0.102
2016-10-25,0.10,0.104,0.099,0.103,8056000,0.103
2016-10-24,0.112,0.12,0.095,0.102,38956000,0.102
2016-10-21,0.108,0.108,0.108,0.108,000,0.108
2016-10-20,0.104,0.114,0.095,0.108,55944000,0.108
2016-10-19,0.083,0.107,0.083,0.104,81120000,0.104
2016-10-18,0.081,0.084,0.08,0.082,1548000,0.082
2016-10-17,0.086,0.086,0.08,0.081,4372000,0.081
2016-10-14,0.087,0.089,0.084,0.086,9132000,0.086
2016-10-13,0.084,0.088,0.084,0.087,28760000,0.087
2016-10-12,0.084,0.084,0.083,0.083,1492000,0.083
2016-10-11,0.084,0.084,0.083,0.084,4044000,0.084
2016-10-10,0.084,0.084,0.084,0.084,000,0.084
2016-10-07,0.084,0.084,0.083,0.084,1548000,0.084
2016-10-06,0.085,0.087,0.084,0.084,4996000,0.084
2016-10-05,0.086,0.088,0.085,0.085,5864000,0.085
2016-10-04,0.081,0.086,0.081,0.084,7616000,0.084
2016-10-03,0.078,0.08,0.078,0.079,7332000,0.079
2016-09-30,0.08,0.083,0.078,0.08,2912000,0.08
2016-09-29,0.078,0.084,0.078,0.083,6524000,0.083
2016-09-28,0.078,0.078,0.078,0.078,140000,0.078
2016-09-27,0.08,0.08,0.079,0.08,1480000,0.08
2016-09-26,0.08,0.081,0.078,0.081,648000,0.081
2016-09-23,0.081,0.082,0.08,0.08,15448000,0.08
2016-09-22,0.082,0.084,0.081,0.082,3756000,0.082
