,Close,Volume,Percentage_close,Normalized_close,Normalized_volume,Lin_nor_volume
0,0.13,78608000,0.0,-0.961945616827,786.08,0.24664397522
1,0.12,6332000,-0.0769230769231,-0.966887744512,63.32,0.0198675662922
2,0.124,5308000,0.0333333333333,-0.964910893438,53.08,0.016654618111
3,0.123,4612000,-0.00806451612903,-0.965405106206,46.12,0.0144708173941
4,0.124,6428000,0.00813008130081,-0.964910893438,64.28,0.0201687801841
5,0.122,3704000,-0.0161290322581,-0.965899318975,37.04,0.0116218359991
6,0.124,6104000,0.016393442623,-0.964910893438,61.04,0.0191521832987
7,0.127,43728000,0.0241935483871,-0.963428255132,437.28,0.137202927799
8,0.13,33736000,0.0236220472441,-0.961945616827,337.36,0.105851581875
9,0.126,7712000,-0.0307692307692,-0.963922467901,77.12,0.0241975159894
10,0.125,138272000,-0.00793650793651,-0.964416680669,1382.72,0.433848409089
11,0.121,19212000,-0.032,-0.966393531743,192.12,0.0602804301334
12,0.123,68252000,0.0165289256198,-0.965405106206,682.52,0.214150526622
13,0.128,141032000,0.0406504065041,-0.962934042364,1410.32,0.442508308483
14,0.106,42540000,-0.171875,-0.973806723271,425.4,0.133475405886
15,0.101,816000,-0.0471698113208,-0.976277787113,8.16,0.00256031808187
16,0.104,18696000,0.029702970297,-0.974795148807,186.96,0.058661405464
17,0.1,10028000,-0.0384615384615,-0.976771999881,100.28,0.0314643011336
18,0.102,18864000,0.02,-0.975783574344,188.64,0.059188529775
19,0.103,10972000,0.00980392156863,-0.975289361576,109.72,0.0344262377381
20,0.103,64260000,0.0,-0.975289361576,642.6,0.201625048947
21,0.102,25960000,-0.00970873786408,-0.975783574344,259.6,0.0814532566242
22,0.099,10800000,-0.0294117647059,-0.97726621265,108.0,0.0338865628483
23,0.098,16596000,-0.010101010101,-0.977760425418,165.96,0.0520723515769
24,0.103,3700000,0.0510204081633,-0.975289361576,37.0,0.0116092854202
25,0.102,13592000,-0.00970873786408,-0.975783574344,135.92,0.0426468668735
26,0.104,17252000,0.0196078431373,-0.974795148807,172.52,0.0541306465054
27,0.102,8440000,-0.0192307692308,-0.975783574344,84.4,0.026481721337
28,0.103,8056000,0.00980392156863,-0.975289361576,80.56,0.025276865769
29,0.102,38956000,-0.00970873786408,-0.975783574344,389.56,0.122230087252
30,0.108,0,0.0588235294118,-0.972818297734,0.0,0.0
31,0.108,55944000,0.0,-0.972818297734,559.44,0.175532395554
32,0.104,81120000,-0.037037037037,-0.974795148807,811.2,0.254525738727
33,0.082,1548000,-0.211538461538,-0.985667829714,15.48,0.00485707400825
34,0.081,4372000,-0.0121951219512,-0.986162042483,43.72,0.0137177826641
35,0.086,9132000,0.0617283950617,-0.98369097864,91.32,0.028652971475
36,0.087,28760000,0.0116279069767,-0.983196765872,287.6,0.0902386618071
37,0.083,1492000,-0.0459770114943,-0.985173616946,14.92,0.0046813659046
38,0.084,4044000,0.0120481927711,-0.984679404177,40.44,0.0126886351999
39,0.084,0,0.0,-0.984679404177,0.0,0.0
40,0.084,1548000,0.0,-0.984679404177,15.48,0.00485707400825
41,0.084,4996000,0.0,-0.984679404177,49.96,0.015675672962
42,0.085,5864000,0.0119047619048,-0.984185191409,58.64,0.0183991485687
43,0.084,7616000,-0.0117647058824,-0.984679404177,76.16,0.0238963020975
44,0.079,7332000,-0.0595238095238,-0.987150468019,73.32,0.0230052110003
45,0.08,2912000,0.0126582278481,-0.986656255251,29.12,0.0091368213902
46,0.083,6524000,0.0375,-0.985173616946,65.24,0.0204699940761
47,0.078,140000,-0.0602409638554,-0.987644680788,1.4,0.000439270259144
48,0.08,1480000,0.025641025641,-0.986656255251,14.8,0.0046437141681
49,0.081,648000,0.0125,-0.986162042483,6.48,0.0020331937709
50,0.08,15448000,-0.0123456790123,-0.986656255251,154.48,0.0484703354519
51,0.082,3756000,0.025,-0.985667829714,37.56,0.0117849935239
52,0.081,10040000,-0.0121951219512,-0.986162042483,100.4,0.0315019528701
53,0.082,4408000,0.0123456790123,-0.985667829714,44.08,0.0138307378736
54,0.08,3580000,-0.0243902439024,-0.986656255251,35.8,0.0112327680553
55,0.082,0,0.025,-0.985667829714,0.0,0.0
56,0.082,16140000,0.0,-0.985667829714,161.4,0.0506415855899
57,0.08,6136000,-0.0243902439024,-0.986656255251,61.36,0.0192525879294
58,0.083,1332000,0.0375,-0.985173616946,13.32,0.00417934275129
59,0.086,952000,0.0361445783133,-0.98369097864,9.52,0.00298703776218
60,0.088,5052000,0.0232558139535,-0.982702553103,50.52,0.0158513810657
61,0.084,2004000,-0.0454545454545,-0.984679404177,20.04,0.00628783999518
62,0.087,6352000,0.0357142857143,-0.983196765872,63.52,0.0199303191863
63,0.084,1788000,-0.0344827586207,-0.984679404177,17.88,0.00561010873822
64,0.085,3856000,0.0119047619048,-0.984185191409,38.56,0.0120987579947
65,0.081,8960000,-0.0470588235294,-0.986162042483,89.6,0.0281132965852
66,0.083,9052000,0.0246913580247,-0.985173616946,90.52,0.0284019598984
67,0.085,3048000,0.0240963855422,-0.984185191409,30.48,0.00956354107051
68,0.088,7244000,0.0352941176471,-0.982702553103,72.44,0.022729098266
69,0.086,2164000,-0.0227272727273,-0.98369097864,21.64,0.00678986314849
70,0.09,976000,0.046511627907,-0.981714127566,9.76,0.00306234123518
71,0.089,36000,-0.0111111111111,-0.982208340335,0.36,0.000112955209494
72,0.089,3832000,0.0,-0.982208340335,38.32,0.0120234545217
73,0.09,800000,0.0112359550562,-0.981714127566,8.0,0.00251011576654
74,0.09,0,0.0,-0.981714127566,0.0,0.0
75,0.09,664000,0.0,-0.981714127566,6.64,0.00208339608623
