Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,0.092,0.10,0.089,0.095,4760000,0.095
2016-12-01,0.092,0.092,0.092,0.092,260100,0.092
2016-11-30,0.086,0.095,0.086,0.093,1200000,0.093
2016-11-29,0.093,0.093,0.093,0.093,80000,0.093
2016-11-28,0.092,0.094,0.092,0.093,520000,0.093
2016-11-25,0.09,0.091,0.09,0.091,280000,0.091
2016-11-24,0.09,0.091,0.09,0.091,800000,0.091
2016-11-23,0.092,0.092,0.091,0.091,580000,0.091
2016-11-22,0.095,0.095,0.09,0.092,520000,0.092
2016-11-21,0.091,0.096,0.09,0.091,500000,0.091
2016-11-18,0.093,0.093,0.093,0.093,120000,0.093
2016-11-17,0.095,0.098,0.091,0.093,1634000,0.093
2016-11-16,0.091,0.099,0.091,0.092,3460000,0.092
2016-11-15,0.09,0.091,0.09,0.091,4014000,0.091
2016-11-14,0.089,0.092,0.088,0.09,1940000,0.09
2016-11-11,0.091,0.092,0.091,0.092,120000,0.092
2016-11-10,0.089,0.095,0.089,0.094,1540400,0.094
2016-11-09,0.09,0.09,0.086,0.087,1340000,0.087
2016-11-08,0.089,0.09,0.089,0.089,940000,0.089
2016-11-07,0.088,0.09,0.088,0.089,540000,0.089
2016-11-04,0.092,0.093,0.09,0.093,4660000,0.093
2016-11-03,0.092,0.092,0.092,0.092,680000,0.092
2016-11-02,0.093,0.093,0.092,0.092,380000,0.092
2016-11-01,0.094,0.097,0.094,0.094,280000,0.094
2016-10-31,0.094,0.096,0.093,0.096,2440000,0.096
2016-10-28,0.095,0.098,0.095,0.095,1542000,0.095
2016-10-27,0.097,0.096,0.094,0.096,1020000,0.096
2016-10-26,0.097,0.097,0.097,0.098,124000,0.098
2016-10-25,0.102,0.102,0.10,0.10,1340000,0.10
2016-10-24,0.097,0.105,0.094,0.102,4100000,0.102
2016-10-21,0.098,0.098,0.098,0.098,000,0.098
2016-10-20,0.097,0.098,0.095,0.098,1510500,0.098
2016-10-19,0.098,0.098,0.098,0.098,680000,0.098
2016-10-18,0.098,0.10,0.098,0.098,940000,0.098
2016-10-17,0.101,0.101,0.10,0.101,1120000,0.101
2016-10-14,0.097,0.104,0.097,0.102,3622000,0.102
2016-10-13,0.09,0.10,0.09,0.098,21200800,0.098
2016-10-12,0.09,0.094,0.09,0.09,580000,0.09
2016-10-11,0.094,0.094,0.089,0.092,2840000,0.092
2016-10-10,0.095,0.095,0.095,0.095,000,0.095
2016-10-07,0.094,0.095,0.094,0.095,300000,0.095
2016-10-06,0.092,0.093,0.092,0.092,3980000,0.092
2016-10-05,0.091,0.091,0.091,0.091,100000,0.091
2016-10-04,0.094,0.094,0.094,0.094,100000,0.094
2016-10-03,0.09,0.095,0.09,0.094,786200,0.094
2016-09-30,0.093,0.093,0.093,0.093,148000,0.093
2016-09-29,0.093,0.093,0.093,0.093,320000,0.093
2016-09-28,0.093,0.093,0.09,0.091,781900,0.091
2016-09-27,0.092,0.092,0.09,0.091,1686400,0.091
2016-09-26,0.092,0.093,0.092,0.093,489500,0.093
2016-09-23,0.05,0.05,0.05,0.05,000,0.05
2016-09-22,0.094,0.108,0.092,0.10,9028500,0.20
2016-09-21,0.046,0.048,0.045,0.048,7000000,0.096
2016-09-20,0.046,0.047,0.046,0.046,1456100,0.092
2016-09-19,0.048,0.048,0.046,0.047,1324000,0.094
2016-09-16,0.047,0.047,0.047,0.047,000,0.094
2016-09-15,0.047,0.047,0.047,0.047,1120000,0.094
2016-09-14,0.047,0.047,0.046,0.047,2240000,0.094
2016-09-13,0.049,0.049,0.048,0.048,3304100,0.096
2016-09-12,0.05,0.05,0.047,0.048,1768000,0.096
2016-09-09,0.05,0.05,0.047,0.049,6404000,0.098
2016-09-08,0.051,0.053,0.048,0.049,11512000,0.098
2016-09-07,0.047,0.047,0.046,0.047,1920000,0.094
2016-09-06,0.047,0.048,0.046,0.047,6360000,0.094
2016-09-05,0.046,0.048,0.045,0.047,11884600,0.094
2016-09-02,0.046,0.048,0.046,0.048,2120000,0.096
2016-09-01,0.05,0.05,0.047,0.048,1286300,0.096
2016-08-31,0.047,0.048,0.047,0.048,684600,0.096
2016-08-30,0.046,0.05,0.045,0.047,7686000,0.094
2016-08-29,0.049,0.049,0.044,0.048,4080000,0.096
2016-08-26,0.046,0.047,0.046,0.046,4120000,0.092
2016-08-25,0.048,0.049,0.045,0.046,13160000,0.092
2016-08-24,0.025,0.025,0.0225,0.024,23840000,0.048
2016-08-23,0.0285,0.0285,0.025,0.0255,52600000,0.051
2016-08-22,0.0295,0.031,0.0285,0.0285,2520000,0.057
2016-08-19,0.0295,0.03,0.0295,0.0295,1922000,0.059
2016-08-18,0.029,0.0295,0.029,0.0295,1280000,0.059
2016-08-17,0.03,0.03,0.0295,0.0295,1680000,0.059
2016-08-16,0.029,0.0295,0.029,0.0295,568000,0.059
2016-08-15,0.03,0.03,0.029,0.0295,3320000,0.059
2016-08-12,0.03,0.03,0.0295,0.03,525000,0.06
2016-08-11,0.03,0.0305,0.0295,0.03,5080000,0.06
2016-08-10,0.03,0.0305,0.03,0.0305,1200000,0.061
2016-08-09,0.03,0.0315,0.03,0.0305,1680000,0.061
2016-08-08,0.03,0.031,0.03,0.031,920000,0.062
2016-08-05,0.031,0.031,0.03,0.03,1040000,0.06
2016-08-04,0.0305,0.031,0.0305,0.0305,1680000,0.061
2016-08-03,0.031,0.031,0.03,0.031,880000,0.062
2016-08-02,0.0315,0.0315,0.0315,0.0315,000,0.063
2016-08-01,0.0315,0.0315,0.0295,0.0315,1320000,0.063
2016-07-29,0.031,0.0325,0.03,0.031,2170400,0.062
2016-07-28,0.032,0.0325,0.0315,0.0315,1560000,0.063
2016-07-27,0.031,0.033,0.031,0.0325,5920000,0.065
2016-07-26,0.03,0.0305,0.03,0.0305,800000,0.061
2016-07-25,0.03,0.03,0.029,0.03,4040000,0.06
2016-07-22,0.029,0.03,0.029,0.03,400000,0.06
2016-07-21,0.0295,0.03,0.0295,0.0295,920000,0.059
2016-07-20,0.0295,0.0295,0.029,0.029,1240000,0.058
2016-07-19,0.0295,0.03,0.028,0.03,7032000,0.06
2016-07-18,0.0305,0.0305,0.029,0.03,12285700,0.06
2016-07-15,0.03,0.03,0.03,0.03,680000,0.06
2016-07-14,0.03,0.0305,0.03,0.0305,2400000,0.061
2016-07-13,0.031,0.031,0.031,0.031,000,0.062
2016-07-12,0.031,0.031,0.0305,0.031,1640500,0.062
2016-07-11,0.0305,0.031,0.0305,0.031,2320000,0.062
2016-07-08,0.0315,0.0315,0.0315,0.0315,000,0.063
2016-07-07,0.031,0.0315,0.0305,0.0315,2400000,0.063
2016-07-06,0.0305,0.031,0.0305,0.031,2360000,0.062
2016-07-05,0.0305,0.0315,0.0305,0.0315,880000,0.063
2016-07-04,0.033,0.033,0.0305,0.0305,2760000,0.061
2016-07-01,0.031,0.031,0.031,0.031,000,0.062
2016-06-30,0.0305,0.0325,0.0305,0.031,2080000,0.062
2016-06-29,0.03,0.0305,0.03,0.0305,4380000,0.061
2016-06-28,0.031,0.031,0.03,0.0305,2920000,0.061
2016-06-27,0.0315,0.032,0.03,0.031,1720000,0.062
2016-06-24,0.0325,0.0325,0.03,0.0315,6000200,0.063
2016-06-23,0.033,0.033,0.0325,0.033,1320000,0.066
2016-06-22,0.033,0.034,0.033,0.033,1640000,0.066
2016-06-21,0.0335,0.034,0.0335,0.034,3280000,0.068
2016-06-20,0.033,0.0335,0.0325,0.0335,1560000,0.067
2016-06-17,0.033,0.033,0.033,0.0335,280000,0.067
2016-06-16,0.0345,0.0345,0.033,0.033,2720000,0.066
2016-06-15,0.0335,0.035,0.0335,0.0345,3480000,0.069
2016-06-14,0.034,0.035,0.0335,0.0345,5560000,0.069
2016-06-13,0.032,0.0375,0.0315,0.0355,37532000,0.071
2016-06-10,0.0325,0.0325,0.0325,0.0325,200000,0.065
2016-06-09,0.033,0.033,0.033,0.033,000,0.066
2016-06-08,0.0325,0.0325,0.032,0.033,1432000,0.066
2016-06-07,0.034,0.034,0.0325,0.033,1620000,0.066
2016-06-06,0.0325,0.033,0.0325,0.033,480000,0.066
2016-06-03,0.0325,0.033,0.0325,0.033,1040000,0.066
2016-06-02,0.033,0.0335,0.032,0.033,3360000,0.066
2016-06-01,0.0325,0.033,0.0315,0.032,7040000,0.064
2016-05-31,0.033,0.033,0.032,0.032,1640000,0.064
2016-05-30,0.0335,0.0335,0.032,0.0335,520000,0.067
2016-05-27,0.0335,0.0335,0.032,0.033,3520000,0.066
2016-05-26,0.033,0.033,0.033,0.033,000,0.066
2016-05-25,0.033,0.0335,0.033,0.033,1161100,0.066
2016-05-24,0.033,0.033,0.032,0.033,560000,0.066
2016-05-23,0.033,0.0345,0.031,0.0345,2880000,0.069
2016-05-20,0.0325,0.0335,0.0325,0.033,2808000,0.066
2016-05-19,0.0335,0.0335,0.0315,0.0325,2720000,0.065
2016-05-18,0.0335,0.0335,0.0325,0.033,360000,0.066
2016-05-17,0.0335,0.0335,0.0335,0.0335,80100,0.067
2016-05-16,0.032,0.0335,0.032,0.0335,920000,0.067
2016-05-13,0.0335,0.0335,0.0325,0.033,3040000,0.066
